action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,35,green,forward,2.0,None,None,None,16
None,34,red,forward,0.0,None,None,None,16
None,33,red,forward,0.0,None,None,None,16
None,32,red,forward,0.0,None,None,None,16
forward,31,green,forward,2.0,None,None,None,16
forward,30,green,forward,2.0,None,None,None,16
right,29,red,right,2.0,None,None,None,16
forward,28,green,forward,2.0,None,None,None,16
forward,27,green,forward,2.0,None,None,None,16
None,26,red,forward,0.0,None,None,None,16
None,25,red,forward,0.0,None,None,None,16
forward,24,green,forward,12.0,None,None,None,16
right,35,red,right,2.0,None,None,None,17
right,34,green,right,2.0,None,None,None,17
None,33,red,forward,0.0,None,None,None,17
None,32,red,forward,0.0,None,None,None,17
forward,31,green,forward,12.0,None,None,None,17
right,20,red,right,2.0,None,None,None,18
right,19,red,right,2.0,None,None,None,18
forward,18,green,forward,2.0,None,None,None,18
None,17,red,forward,0.0,None,None,None,18
forward,16,green,forward,12.0,None,None,None,18
left,25,green,left,2.0,None,None,None,19
forward,24,green,forward,2.0,None,None,None,19
None,23,red,forward,0.0,None,None,None,19
forward,22,green,forward,2.0,None,None,None,19
forward,21,green,forward,2.0,None,None,None,19
forward,20,green,forward,12.0,None,None,None,19
right,20,red,right,2.0,None,None,None,20
right,19,green,right,2.0,None,None,None,20
None,18,red,forward,0.0,None,None,None,20
None,17,red,forward,0.0,None,None,None,20
None,16,red,forward,0.0,None,None,None,20
forward,15,green,forward,2.0,None,None,None,20
None,14,red,forward,0.0,None,None,right,20
None,13,red,forward,0.0,None,None,None,20
None,12,red,forward,0.0,None,None,None,20
forward,11,green,forward,2.0,None,None,None,20
left,10,green,left,2.0,None,None,None,20
forward,9,green,forward,2.0,None,None,None,20
None,8,red,forward,0.0,None,None,None,20
None,7,red,forward,0.0,None,None,None,20
None,6,red,forward,0.0,None,None,None,20
forward,5,green,forward,2.0,None,None,None,20
forward,4,green,forward,12.0,None,None,None,20
left,30,green,left,2.0,None,None,None,21
None,29,red,forward,0.0,None,None,None,21
None,28,red,forward,0.0,None,None,None,21
None,27,red,forward,0.0,None,None,None,21
forward,26,green,forward,2.0,None,None,None,21
None,25,red,forward,0.0,None,None,None,21
None,24,red,forward,0.0,None,None,None,21
None,23,red,forward,0.0,None,None,None,21
None,22,red,forward,0.0,None,None,None,21
None,21,red,forward,0.0,None,None,None,21
forward,20,green,forward,2.0,None,None,None,21
None,19,red,forward,0.0,None,None,None,21
forward,18,green,forward,2.0,None,None,None,21
forward,17,green,forward,2.0,None,None,None,21
left,16,green,left,12.0,None,None,None,21
None,25,red,forward,0.0,None,None,None,22
None,24,red,forward,0.0,None,None,None,22
None,23,red,forward,0.0,None,None,None,22
forward,22,green,forward,2.0,None,None,None,22
None,21,red,forward,0.0,None,None,None,22
None,20,red,forward,0.0,None,None,None,22
None,19,red,forward,0.0,None,None,None,22
None,18,red,forward,0.0,None,None,None,22
forward,17,green,forward,2.0,None,None,None,22
forward,16,green,forward,2.0,None,None,None,22
forward,15,green,forward,2.0,None,None,None,22
forward,14,green,forward,12.0,None,None,None,22
None,30,red,left,0.0,None,None,None,23
None,29,red,left,0.0,None,None,None,23
None,28,red,left,0.0,None,None,None,23
None,27,red,left,0.0,None,None,None,23
left,26,green,left,2.0,None,None,None,23
None,25,red,forward,0.0,None,None,None,23
None,24,red,forward,0.0,None,None,None,23
None,23,red,forward,0.0,None,None,None,23
None,22,red,forward,0.0,None,None,None,23
None,21,red,forward,0.0,None,None,None,23
forward,20,green,forward,2.0,None,None,None,23
forward,19,green,forward,2.0,None,None,None,23
None,18,red,forward,0.0,None,None,None,23
None,17,red,forward,0.0,None,None,None,23
None,16,red,forward,0.0,None,None,None,23
forward,15,green,forward,2.0,None,None,None,23
None,14,red,forward,0.0,None,None,None,23
None,13,red,forward,0.0,None,None,None,23
None,12,red,forward,0.0,None,None,None,23
None,11,red,forward,0.0,None,None,None,23
forward,10,green,forward,2.0,None,None,None,23
right,9,red,right,12.0,None,None,None,23
None,25,red,forward,0.0,None,None,None,24
None,24,red,forward,0.0,None,None,None,24
None,23,red,forward,0.0,None,None,forward,24
forward,22,green,forward,2.0,None,None,forward,24
forward,21,green,forward,2.0,None,None,None,24
forward,20,green,forward,2.0,None,None,None,24
None,19,red,forward,0.0,None,None,None,24
None,18,red,forward,0.0,None,None,None,24
None,17,red,forward,0.0,None,None,None,24
None,16,red,forward,0.0,None,None,None,24
forward,15,green,forward,2.0,None,None,None,24
None,14,red,left,0.0,None,None,None,24
left,13,green,left,12.0,None,None,None,24
right,45,red,right,2.0,None,None,None,25
right,44,green,right,2.0,None,None,None,25
None,43,red,forward,0.0,None,None,None,25
None,42,red,forward,0.0,None,None,None,25
forward,41,green,forward,2.0,None,None,None,25
forward,40,green,forward,2.0,None,None,None,25
None,39,red,forward,0.0,None,None,None,25
None,38,red,forward,0.0,None,None,None,25
None,37,red,forward,0.0,None,None,None,25
None,36,red,forward,0.0,None,None,None,25
forward,35,green,forward,12.0,None,None,None,25
forward,25,green,forward,2.0,None,None,None,26
forward,24,green,forward,2.0,None,None,None,26
None,23,red,forward,0.0,None,None,None,26
None,22,red,forward,0.0,None,None,None,26
forward,21,green,forward,2.0,None,None,None,26
forward,20,green,forward,2.0,left,None,None,26
None,19,red,forward,0.0,None,None,None,26
None,18,red,forward,0.0,None,None,None,26
forward,17,green,forward,12.0,None,None,None,26
forward,50,green,forward,2.0,left,None,None,27
forward,49,green,forward,2.0,None,None,None,27
forward,48,green,forward,2.0,None,None,None,27
forward,47,green,forward,2.0,None,None,None,27
forward,46,green,forward,2.0,None,None,None,27
forward,45,green,forward,2.0,None,None,None,27
None,44,red,left,0.0,None,None,None,27
None,43,red,left,0.0,None,None,None,27
left,42,green,left,2.0,None,None,None,27
None,41,red,forward,0.0,None,None,None,27
None,40,red,forward,0.0,None,None,None,27
None,39,red,forward,0.0,None,None,None,27
forward,38,green,forward,2.0,None,None,None,27
None,37,red,forward,0.0,None,None,None,27
None,36,red,forward,0.0,None,None,None,27
None,35,red,forward,0.0,None,None,None,27
