action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
None,11,red,left,0.0,9,None,None,None,100
None,10,red,left,0.0,10,None,None,None,100
None,9,red,left,0.0,11,None,None,None,100
None,8,green,left,0.0,12,None,None,None,100
None,7,green,left,0.0,13,None,None,None,100
None,6,green,left,0.0,14,None,None,None,100
None,5,green,left,0.0,15,None,None,None,100
None,4,red,left,0.0,16,None,None,None,100
None,3,red,left,0.0,17,None,None,None,100
None,2,red,left,0.0,18,None,None,None,100
None,1,red,left,0.0,19,None,None,None,100
None,0,green,left,0.0,20,None,None,None,100
